Stadt;Bundesland;aRC_Time1;eRC_Time1;reRCt1;source1;aRC_Time2;eRC_Time2;reRCt2;source2;aRC_Time3;eRC_Time3;reRCt3;source3;;;
Kehl;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Kernen im Remstal;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Kirchentellinsfurt;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Kirchheim unter Teck;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Kirchzarten;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Konstanz;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Kornwestheim;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Lahr/Schwarzwald;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Lauchringen;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Leimen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Leinfelden-Echterdingen;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Leonberg;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Linkenheim-Hochstetten;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
Lörrach;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Ludwigsburg;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Mannheim;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
March;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Meißenheim;Baden-Württemberg;NA;NA;NA;NA;04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Merzhausen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Möglingen;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Müllheim;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Neckarsulm;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Neuenburg am Rhein;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);04.06.2020;31.10.2020;ausgelaufen;GBI. S. 329;01.11.2020;30.06.2025;;"Gesetzblatt für Baden-Württeemberg; Ausgegeben 21.10.2020; Jahrgang 2020 Nr. 36; ISSN 0174-478 X";;;
Neuhausen ad den Fildern;Baden-Württemberg;29.09.2015;13.03.2019;gekippt;Mietpreisbegrenzungsverordnung Baden-Württemberg (MietBgVO BW) v. 29.9.2015 (GBl 2015 S. 852);NA;NA;NA;NA;NA;NA;NA;NA;;;
